Week,Date,Average of Queens Carbon Monoxide AQI Value,Average of Bronx Carbon Monoxide AQI Value,Average of cluster 1 Carbon Monoxide AQI Value,,,,,Row Labels,Average of Nitrogen Dioxide AQI Value,
1,1/1/2016 - 1/7/2016,34.86,5.86,5.93,,,,,(blank),,
2,1/8/2016 - 1/14/2016,28.14,5.43,4.3,,,,,1/1/2016 - 1/7/2016,34.85714286,34.86
3,1/15/2016 - 1/21/2016,29.71,4,3.915,,,,,1/8/2016 - 1/14/2016,28.14285714,28.14
4,1/22/2016 - 1/28/2016,36.57,5.86,5.36,,,,,1/15/2016 - 1/21/2016,29.71428571,29.71
5,1/29/2016 - 2/4/2016,41.71,6.14,5.785,,,,,1/22/2016 - 1/28/2016,36.57142857,36.57
6,2/5/2016 - 2/11/2016,27.71,4.43,4.07,,,,,1/29/2016 - 2/4/2016,41.71428571,41.71
7,2/12/2016 - 2/18/2016,26.14,4.14,3.655,,,,,2/5/2016 - 2/11/2016,27.71428571,27.71
8,2/19/2016 - 2/25/2016,29.14,5,4.07,,,,,2/12/2016 - 2/18/2016,26.14285714,26.14
9,2/26/2016 - 3/3/2016,26.14,4.14,3.235,,,,,2/19/2016 - 2/25/2016,29.14285714,29.14
10,3/4/2016 - 3/10/2016,44.43,6.71,5.94,,,,,2/26/2016 - 3/3/2016,26.14285714,26.14
11,3/11/2016 - 3/17/2016,34.67,5.71,5.19,,,,,3/4/2016 - 3/10/2016,44.42857143,44.43
12,3/18/2016 - 3/24/2016,28.71,4.14,3.735,,,,,3/11/2016 - 3/17/2016,34.66666667,34.67
13,3/25/2016 - 3/31/2016,23.29,3.71,3.105,,,,,3/18/2016 - 3/24/2016,28.71428571,28.71
14,4/1/2016 - 4/7/2016,31,3.86,3.145,,,,,3/25/2016 - 3/31/2016,23.28571429,23.29
15,4/8/2016 - 4/14/2016,26.67,3.86,3.215,,,,,4/1/2016 - 4/7/2016,31,31
16,4/15/2016 - 4/21/2016,39.71,4.86,4.145,,,,,4/8/2016 - 4/14/2016,26.66666667,26.67
17,4/22/2016 - 4/28/2016,21.83,4.86,4.015,,,,,4/15/2016 - 4/21/2016,39.71428571,39.71
18,4/29/2016 - 5/5/2016,19.17,4.71,3.855,,,,,4/22/2016 - 4/28/2016,21.83333333,21.83
19,5/6/2016 - 5/12/2016,40.33,5.43,4.63,,,,,4/29/2016 - 5/5/2016,19.16666667,19.17
20,5/13/2016 - 5/19/2016,30.29,4.86,4.36,,,,,5/6/2016 - 5/12/2016,40.33333333,40.33
21,5/20/2016 - 5/26/2016,41.43,5.71,5.19,,,,,5/13/2016 - 5/19/2016,30.28571429,30.29
22,5/27/2016 - 6/2/2016,28.29,5.71,4.285,,,,,5/20/2016 - 5/26/2016,41.42857143,41.43
23,6/3/2016 - 6/9/2016,15.4,4,3,,,,,5/27/2016 - 6/2/2016,28.28571429,28.29
24,6/10/2016 - 6/16/2016,28.71,4.43,3.965,,,,,6/3/2016 - 6/9/2016,15.4,15.4
25,6/17/2016 - 6/23/2016,30.14,5.43,4.55,,,,,6/10/2016 - 6/16/2016,28.71428571,28.71
26,6/24/2016 - 6/30/2016,22.43,4,3.285,,,,,6/17/2016 - 6/23/2016,30.14285714,30.14
27,7/1/2016 - 7/7/2016,27.14,4.29,3.56,,,,,6/24/2016 - 6/30/2016,22.42857143,22.43
28,7/8/2016 - 7/14/2016,23,4.71,3.77,,,,,7/1/2016 - 7/7/2016,27.14285714,27.14
29,7/15/2016 - 7/21/2016,25,4.86,3.86,,,,,7/8/2016 - 7/14/2016,23,23
30,7/22/2016 - 7/28/2016,23.43,4.29,3.395,,,,,7/15/2016 - 7/21/2016,25,25
31,7/29/2016 - 8/4/2016,15.57,3.86,3.075,,,,,7/22/2016 - 7/28/2016,23.42857143,23.43
32,8/5/2016 - 8/11/2016,25.71,4.14,3.485,,,,,7/29/2016 - 8/4/2016,15.57142857,15.57
33,8/12/2016 - 8/18/2016,20.86,3.57,2.87,,,,,8/5/2016 - 8/11/2016,25.71428571,25.71
34,8/19/2016 - 8/25/2016,25,4.57,3.685,,,,,8/12/2016 - 8/18/2016,20.85714286,20.86
35,8/26/2016 - 9/1/2016,24,4.29,3.56,,,,,8/19/2016 - 8/25/2016,25,25
36,9/2/2016 - 9/8/2016,13.29,2.86,2.765,,,,,8/26/2016 - 9/1/2016,24,24
37,9/9/2016 - 9/15/2016,20.57,3.71,3.27,,,,,9/2/2016 - 9/8/2016,13.28571429,13.29
38,9/16/2016 - 9/22/2016,28.71,5.43,4.57,,,,,9/9/2016 - 9/15/2016,20.57142857,20.57
39,9/23/2016 - 9/29/2016,25.86,5.57,4.93,,,,,9/16/2016 - 9/22/2016,28.71428571,28.71
40,9/30/2016 - 10/6/2016,23.71,5.86,4.715,,,,,9/23/2016 - 9/29/2016,25.85714286,25.86
41,10/7/2016 - 10/13/2016,26.14,7.29,7.145,,,,,9/30/2016 - 10/6/2016,23.71428571,23.71
42,10/14/2016 - 10/20/2016,28.71,5.29,4.895,,,,,10/7/2016 - 10/13/2016,26.14285714,26.14
43,10/21/2016 - 10/27/2016,23.14,3.71,3.425,,,,,10/14/2016 - 10/20/2016,28.71428571,28.71
44,10/28/2016 - 11/3/2016,29.83,5.71,5.52,,,,,10/21/2016 - 10/27/2016,23.14285714,23.14
45,11/4/2016 - 11/10/2016,32.86,5.14,4.905,,,,,10/28/2016 - 11/3/2016,29.83333333,29.83
46,11/11/2016 - 11/17/2016,39,5.57,5,,,,,11/4/2016 - 11/10/2016,32.85714286,32.86
47,11/18/2016 - 11/24/2016,24.43,4.71,4.105,,,,,11/11/2016 - 11/17/2016,39,39
48,11/25/2016 - 12/1/2016,32.14,5.86,6.095,,,,,11/18/2016 - 11/24/2016,24.42857143,24.43
49,12/2/2016 - 12/8/2016,26.86,4.57,4.035,,,,,11/25/2016 - 12/1/2016,32.14285714,32.14
50,12/9/2016 - 12/15/2016,27.71,5.14,4.215,,,,,12/2/2016 - 12/8/2016,26.85714286,26.86
51,12/16/2016 - 12/22/2016,35,6.43,6.13,,,,,12/9/2016 - 12/15/2016,27.71428571,27.71
52,12/23/2016 - 12/29/2016,28.14,5,4,,,,,12/16/2016 - 12/22/2016,35,35
1,12/30/2016 - 1/5/2017,29.57,1.43,2.5,,,,,12/23/2016 - 12/29/2016,28.14285714,28.14
2,1/6/2017 - 1/12/2017,29.71,0,1.93,,,,,12/30/2016 - 1/5/2017,29.57142857,29.57
3,1/13/2017 - 1/19/2017,35,0,2.665,,,,,1/6/2017 - 1/12/2017,29.71428571,29.71
4,1/20/2017 - 1/26/2017,28.86,0,2.415,,,,,1/13/2017 - 1/19/2017,35,35
5,1/27/2017 - 2/2/2017,36,0,2.585,,,,,1/20/2017 - 1/26/2017,28.85714286,28.86
6,2/3/2017 - 2/9/2017,31.57,0,2.335,,,,,1/27/2017 - 2/2/2017,36,36
7,2/10/2017 - 2/16/2017,35.86,0,2.645,,,,,2/3/2017 - 2/9/2017,31.57142857,31.57
8,2/17/2017 - 2/23/2017,39.43,0,2.5,,,,,2/10/2017 - 2/16/2017,35.85714286,35.86
9,2/24/2017 - 3/2/2017,31.29,0,1.915,,,,,2/17/2017 - 2/23/2017,39.42857143,39.43
10,3/3/2017 - 3/9/2017,27.71,0,1.285,,,,,2/24/2017 - 3/2/2017,31.28571429,31.29
11,3/10/2017 - 3/16/2017,17.86,0,1.285,,,,,3/3/2017 - 3/9/2017,27.71428571,27.71
12,3/17/2017 - 3/23/2017,47.14,0,2,,,,,3/10/2017 - 3/16/2017,17.85714286,17.86
13,3/24/2017 - 3/30/2017,35,0,2.145,,,,,3/17/2017 - 3/23/2017,47.14285714,47.14
14,3/31/2017 - 4/6/2017,34.57,0,2.715,,,,,3/24/2017 - 3/30/2017,35,35
15,4/7/2017 - 4/13/2017,37.29,0,2.5,,,,,3/31/2017 - 4/6/2017,34.57142857,34.57
16,4/14/2017 - 4/20/2017,31.29,0,2.07,,,,,4/7/2017 - 4/13/2017,37.28571429,37.29
17,4/21/2017 - 4/27/2017,29.86,0,2.75,,,,,4/14/2017 - 4/20/2017,31.28571429,31.29
18,4/28/2017 - 5/4/2017,30.14,0,2.145,,,,,4/21/2017 - 4/27/2017,29.85714286,29.86
19,5/5/2017 - 5/11/2017,22.29,0,1.43,,,,,4/28/2017 - 5/4/2017,30.14285714,30.14
20,5/12/2017 - 5/18/2017,30,0,2.285,,,,,5/5/2017 - 5/11/2017,22.28571429,22.29
21,5/19/2017 - 5/25/2017,26.83,0,1.93,,,,,5/12/2017 - 5/18/2017,30,30
22,5/26/2017 - 6/1/2017,17.57,0,1.645,,,,,5/19/2017 - 5/25/2017,26.83333333,26.83
23,6/2/2017 - 6/8/2017,30.57,0,2.215,,,,,5/26/2017 - 6/1/2017,17.57142857,17.57
24,6/9/2017 - 6/15/2017,31.57,0,2,,,,,6/2/2017 - 6/8/2017,30.57142857,30.57
25,6/16/2017 - 6/22/2017,23,0,1.645,,,,,6/9/2017 - 6/15/2017,31.57142857,31.57
26,6/23/2017 - 6/29/2017,26.86,0,1.57,,,,,6/16/2017 - 6/22/2017,23,23
27,6/30/2017 - 7/6/2017,33.14,0,2.07,,,,,6/23/2017 - 6/29/2017,26.85714286,26.86
28,7/7/2017 - 7/13/2017,31.86,0,1.855,,,,,6/30/2017 - 7/6/2017,33.14285714,33.14
29,7/14/2017 - 7/20/2017,26.57,0,2.145,,,,,7/7/2017 - 7/13/2017,31.85714286,31.86
30,7/21/2017 - 7/27/2017,23,0,1.715,,,,,7/14/2017 - 7/20/2017,26.57142857,26.57
31,7/28/2017 - 8/3/2017,25.14,0,2.5,,,,,7/21/2017 - 7/27/2017,23,23
32,8/4/2017 - 8/10/2017,30.86,0,2.215,,,,,7/28/2017 - 8/3/2017,25.14285714,25.14
33,8/11/2017 - 8/17/2017,30.43,0,2.715,,,,,8/4/2017 - 8/10/2017,30.85714286,30.86
34,8/18/2017 - 8/24/2017,26,0,2.285,,,,,8/11/2017 - 8/17/2017,30.42857143,30.43
35,8/25/2017 - 8/31/2017,27.57,0,2.645,,,,,8/18/2017 - 8/24/2017,26,26
36,9/1/2017 - 9/7/2017,19.43,0,2,,,,,8/25/2017 - 8/31/2017,27.57142857,27.57
37,9/8/2017 - 9/14/2017,30.71,0,2.855,,,,,9/1/2017 - 9/7/2017,19.42857143,19.43
38,9/15/2017 - 9/21/2017,22.43,0,2.145,,,,,9/8/2017 - 9/14/2017,30.71428571,30.71
39,9/22/2017 - 9/28/2017,28.43,0,3.145,,,,,9/15/2017 - 9/21/2017,22.42857143,22.43
40,9/29/2017 - 10/5/2017,34.86,0,3.585,,,,,9/22/2017 - 9/28/2017,28.42857143,28.43
41,10/6/2017 - 10/12/2017,29.57,0,2.93,,,,,9/29/2017 - 10/5/2017,34.85714286,34.86
42,10/13/2017 - 10/19/2017,26.86,0,2.355,,,,,10/6/2017 - 10/12/2017,29.57142857,29.57
43,10/20/2017 - 10/26/2017,35,0,3.43,,,,,10/13/2017 - 10/19/2017,26.85714286,26.86
44,10/27/2017 - 11/2/2017,29.71,0,2.43,,,,,10/20/2017 - 10/26/2017,35,35
45,11/3/2017 - 11/9/2017,24.43,0,2.5,,,,,10/27/2017 - 11/2/2017,29.71428571,29.71
46,11/10/2017 - 11/16/2017,32.14,0,3.285,,,,,11/3/2017 - 11/9/2017,24.42857143,24.43
47,11/17/2017 - 11/23/2017,33.57,0,2.57,,,,,11/10/2017 - 11/16/2017,32.14285714,32.14
48,11/24/2017 - 11/30/2017,34.14,0,2.645,,,,,11/17/2017 - 11/23/2017,33.57142857,33.57
49,12/1/2017 - 12/7/2017,28.86,0,3.07,,,,,11/24/2017 - 11/30/2017,34.14285714,34.14
50,12/8/2017 - 12/14/2017,29.57,0,2.43,,,,,12/1/2017 - 12/7/2017,28.85714286,28.86
51,12/15/2017 - 12/21/2017,36,0,3.07,,,,,12/8/2017 - 12/14/2017,29.57142857,29.57
52,12/22/2017 - 12/28/2017,27.14,0,2.355,,,,,12/15/2017 - 12/21/2017,36,36
1,12/29/2017 - 1/4/2018,31.71,3.71,4.355,,,,,12/22/2017 - 12/28/2017,27.14285714,27.14
2,1/5/2018 - 1/11/2018,33.57,6.57,6.355,,,,,12/29/2017 - 1/4/2018,31.71428571,31.71
3,1/12/2018 - 1/18/2018,28,5.43,5.5,,,,,1/5/2018 - 1/11/2018,33.57142857,33.57
4,1/19/2018 - 1/25/2018,37.71,6,6,,,,,1/12/2018 - 1/18/2018,28,28
5,1/26/2018 - 2/1/2018,35.14,5.29,5.5,,,,,1/19/2018 - 1/25/2018,37.71428571,37.71
6,2/2/2018 - 2/8/2018,36,6.86,6.43,,,,,1/26/2018 - 2/1/2018,35.14285714,35.14
7,2/9/2018 - 2/15/2018,37.86,8,7.57,,,,,2/2/2018 - 2/8/2018,36,36
8,2/16/2018 - 2/22/2018,36.57,7.14,6.925,,,,,2/9/2018 - 2/15/2018,37.85714286,37.86
9,2/23/2018 - 3/1/2018,39.43,5.86,6.215,,,,,2/16/2018 - 2/22/2018,36.57142857,36.57
10,3/2/2018 - 3/8/2018,23.43,3.29,3.79,,,,,2/23/2018 - 3/1/2018,39.42857143,39.43
11,3/9/2018 - 3/15/2018,24.43,3.57,3.57,,,,,3/2/2018 - 3/8/2018,23.42857143,23.43
12,3/16/2018 - 3/22/2018,32,4,4.215,,,,,3/9/2018 - 3/15/2018,24.42857143,24.43
13,3/23/2018 - 3/29/2018,35.86,5.14,5.285,,,,,3/16/2018 - 3/22/2018,32,32
14,3/30/2018 - 4/5/2018,31.57,5.29,4.79,,,,,3/23/2018 - 3/29/2018,35.85714286,35.86
15,4/6/2018 - 4/12/2018,33.29,5.14,4.785,,,,,3/30/2018 - 4/5/2018,31.57142857,31.57
16,4/13/2018 - 4/19/2018,23.71,4.29,4,,,,,4/6/2018 - 4/12/2018,33.28571429,33.29
17,4/20/2018 - 4/26/2018,37.71,4.71,4.71,,,,,4/13/2018 - 4/19/2018,23.71428571,23.71
18,4/27/2018 - 5/3/2018,40.14,4.57,4.855,,,,,4/20/2018 - 4/26/2018,37.71428571,37.71
19,5/4/2018 - 5/10/2018,33.86,4.71,4.855,,,,,4/27/2018 - 5/3/2018,40.14285714,40.14
20,5/11/2018 - 5/17/2018,27.71,4.86,5.075,,,,,5/4/2018 - 5/10/2018,33.85714286,33.86
21,5/18/2018 - 5/24/2018,27.71,5.29,5.43,,,,,5/11/2018 - 5/17/2018,27.71428571,27.71
22,5/25/2018 - 5/31/2018,27.71,5.57,5.07,,,,,5/18/2018 - 5/24/2018,27.71428571,27.71
23,6/1/2018 - 6/7/2018,23.29,4.14,4,,,,,5/25/2018 - 5/31/2018,27.71428571,27.71
24,6/8/2018 - 6/14/2018,27.29,5.29,4.645,,,,,6/1/2018 - 6/7/2018,23.28571429,23.29
25,6/15/2018 - 6/21/2018,27.14,4.57,4.57,,,,,6/8/2018 - 6/14/2018,27.28571429,27.29
26,6/22/2018 - 6/28/2018,19.71,3.57,3.855,,,,,6/15/2018 - 6/21/2018,27.14285714,27.14
27,6/29/2018 - 7/5/2018,29.71,5.14,4.785,,,,,6/22/2018 - 6/28/2018,19.71428571,19.71
28,7/6/2018 - 7/12/2018,26.57,2.86,3.36,,,,,6/29/2018 - 7/5/2018,29.71428571,29.71
29,7/13/2018 - 7/19/2018,24.14,3.71,3.925,,,,,7/6/2018 - 7/12/2018,26.57142857,26.57
30,7/20/2018 - 7/26/2018,16.57,2.71,2.64,,,,,7/13/2018 - 7/19/2018,24.14285714,24.14
31,7/27/2018 - 8/2/2018,23.71,4.57,4.43,,,,,7/20/2018 - 7/26/2018,16.57142857,16.57
32,8/3/2018 - 8/9/2018,23.43,5,4.355,,,,,7/27/2018 - 8/2/2018,23.71428571,23.71
33,8/10/2018 - 8/16/2018,24.57,4.86,4.785,,,,,8/3/2018 - 8/9/2018,23.42857143,23.43
34,8/17/2018 - 8/23/2018,19.29,3.14,3.215,,,,,8/10/2018 - 8/16/2018,24.57142857,24.57
35,8/24/2018 - 8/30/2018,25.86,5.14,4.925,,,,,8/17/2018 - 8/23/2018,19.28571429,19.29
36,8/31/2018 - 9/6/2018,18.71,4.14,3.64,,,,,8/24/2018 - 8/30/2018,25.85714286,25.86
37,9/7/2018 - 9/13/2018,15.71,4,4.355,,,,,8/31/2018 - 9/6/2018,18.71428571,18.71
38,9/14/2018 - 9/20/2018,21.57,5,5,,,,,9/7/2018 - 9/13/2018,15.71428571,15.71
39,9/21/2018 - 9/27/2018,14.29,3.29,2.86,,,,,9/14/2018 - 9/20/2018,21.57142857,21.57
40,9/28/2018 - 10/4/2018,29.43,5.86,5.785,,,,,9/21/2018 - 9/27/2018,14.28571429,14.29
41,10/5/2018 - 10/11/2018,20.43,6,5.5,,,,,9/28/2018 - 10/4/2018,29.42857143,29.43
42,10/12/2018 - 10/18/2018,24.71,3.43,4.285,,,,,10/5/2018 - 10/11/2018,20.42857143,20.43
43,10/19/2018 - 10/25/2018,25.71,3,4.07,,,,,10/12/2018 - 10/18/2018,24.71428571,24.71
44,10/26/2018 - 11/1/2018,33,4.86,5.785,,,,,10/19/2018 - 10/25/2018,25.71428571,25.71
45,11/2/2018 - 11/8/2018,25.29,4.86,5.285,,,,,10/26/2018 - 11/1/2018,33,33
46,11/9/2018 - 11/15/2018,30.57,4,4.645,,,,,11/2/2018 - 11/8/2018,25.28571429,25.29
47,11/16/2018 - 11/22/2018,25.17,4.57,5.285,,,,,11/9/2018 - 11/15/2018,30.57142857,30.57
48,11/23/2018 - 11/29/2018,31.71,4.71,4.925,,,,,11/16/2018 - 11/22/2018,25.16666667,25.17
49,11/30/2018 - 12/6/2018,33,6.29,6.86,,,,,11/23/2018 - 11/29/2018,31.71428571,31.71
50,12/7/2018 - 12/13/2018,36.57,5.43,6.215,,,,,11/30/2018 - 12/6/2018,33,33
51,12/14/2018 - 12/20/2018,34.43,6.71,6.855,,,,,12/7/2018 - 12/13/2018,36.57142857,36.57
52,12/21/2018 - 12/27/2018,25.57,4,4.855,,,,,12/14/2018 - 12/20/2018,34.42857143,34.43
1,12/28/2018 - 1/3/2019,31.71,6,7,,,,,12/21/2018 - 12/27/2018,25.57142857,25.57
2,1/4/2019 - 1/10/2019,28,5.86,6.075,,,,,12/28/2018 - 1/3/2019,31.71428571,31.71
3,1/11/2019 - 1/17/2019,32.43,3.86,5.145,,,,,1/4/2019 - 1/10/2019,28,28
4,1/18/2019 - 1/24/2019,32.86,5,5.07,,,,,1/11/2019 - 1/17/2019,32.42857143,32.43
5,1/25/2019 - 1/31/2019,35.29,4.29,4.86,,,,,1/18/2019 - 1/24/2019,32.85714286,32.86
6,2/1/2019 - 2/7/2019,43.86,8,8.645,,,,,1/25/2019 - 1/31/2019,35.28571429,35.29
7,2/8/2019 - 2/14/2019,33.29,4.14,4.855,,,,,2/1/2019 - 2/7/2019,43.85714286,43.86
8,2/15/2019 - 2/21/2019,30,4.14,4.925,,,,,2/8/2019 - 2/14/2019,33.28571429,33.29
9,2/22/2019 - 2/28/2019,24.71,3.29,4.075,,,,,2/15/2019 - 2/21/2019,30,30
10,3/1/2019 - 3/7/2019,32.43,3.57,4.5,,,,,2/22/2019 - 2/28/2019,24.71428571,24.71
11,3/8/2019 - 3/14/2019,39.86,4.86,5.145,,,,,3/1/2019 - 3/7/2019,32.42857143,32.43
12,3/15/2019 - 3/21/2019,33.29,4.57,4.64,,,,,3/8/2019 - 3/14/2019,39.85714286,39.86
13,3/22/2019 - 3/28/2019,32,2.86,3.715,,,,,3/15/2019 - 3/21/2019,33.28571429,33.29
14,3/29/2019 - 4/4/2019,42.57,5,5.855,,,,,3/22/2019 - 3/28/2019,32,32
15,4/5/2019 - 4/11/2019,27,3.57,4.715,,,,,3/29/2019 - 4/4/2019,42.57142857,42.57
16,4/12/2019 - 4/18/2019,30.29,4.14,3.715,,,,,4/5/2019 - 4/11/2019,27,27
17,4/19/2019 - 4/25/2019,23.43,2.71,3.355,,,,,4/12/2019 - 4/18/2019,30.28571429,30.29
18,4/26/2019 - 5/2/2019,30.14,3.43,4.215,,,,,4/19/2019 - 4/25/2019,23.42857143,23.43
19,5/3/2019 - 5/9/2019,26,3.43,4.145,,,,,4/26/2019 - 5/2/2019,30.14285714,30.14
20,5/10/2019 - 5/16/2019,27.86,3.14,3.215,,,,,5/3/2019 - 5/9/2019,26,26
21,5/17/2019 - 5/23/2019,31.29,3.43,3.36,,,,,5/10/2019 - 5/16/2019,27.85714286,27.86
22,5/24/2019 - 5/30/2019,25.43,3.86,4.145,,,,,5/17/2019 - 5/23/2019,31.28571429,31.29
23,5/31/2019 - 6/6/2019,28.14,3.29,3.79,,,,,5/24/2019 - 5/30/2019,25.42857143,25.43
24,6/7/2019 - 6/13/2019,31.57,3.14,3.64,,,,,5/31/2019 - 6/6/2019,28.14285714,28.14
25,6/14/2019 - 6/20/2019,21.57,3.43,3.785,,,,,6/7/2019 - 6/13/2019,31.57142857,31.57
26,6/21/2019 - 6/27/2019,30.57,3.57,4.07,,,,,6/14/2019 - 6/20/2019,21.57142857,21.57
27,6/28/2019 - 7/4/2019,25.86,3.86,4.145,,,,,6/21/2019 - 6/27/2019,30.57142857,30.57
28,7/5/2019 - 7/11/2019,22,3.71,4,,,,,6/28/2019 - 7/4/2019,25.85714286,25.86
29,7/12/2019 - 7/18/2019,21.71,3.43,3.93,,,,,7/5/2019 - 7/11/2019,22,22
30,7/19/2019 - 7/25/2019,22.86,3.43,3.43,,,,,7/12/2019 - 7/18/2019,21.71428571,21.71
31,7/26/2019 - 8/1/2019,28.43,5.43,5.145,,,,,7/19/2019 - 7/25/2019,22.85714286,22.86
32,8/2/2019 - 8/8/2019,23.86,4.86,4.645,,,,,7/26/2019 - 8/1/2019,28.42857143,28.43
33,8/9/2019 - 8/15/2019,27.71,4.43,5,,,,,8/2/2019 - 8/8/2019,23.85714286,23.86
34,8/16/2019 - 8/22/2019,26,3.57,3.64,,,,,8/9/2019 - 8/15/2019,27.71428571,27.71
35,8/23/2019 - 8/29/2019,23.14,2.57,4,,,,,8/16/2019 - 8/22/2019,26,26
36,8/30/2019 - 9/5/2019,25.86,2.71,3.855,,,,,8/23/2019 - 8/29/2019,23.14285714,23.14
37,9/6/2019 - 9/12/2019,28.86,3.57,4.285,,,,,8/30/2019 - 9/5/2019,25.85714286,25.86
38,9/13/2019 - 9/19/2019,30,3.71,4.425,,,,,9/6/2019 - 9/12/2019,28.85714286,28.86
39,9/20/2019 - 9/26/2019,27.71,4.71,4.855,,,,,9/13/2019 - 9/19/2019,30,30
40,9/27/2019 - 10/3/2019,21.43,3.71,4,,,,,9/20/2019 - 9/26/2019,27.71428571,27.71
41,10/4/2019 - 10/10/2019,16.14,2.14,2.715,,,,,9/27/2019 - 10/3/2019,21.42857143,21.43
42,10/11/2019 - 10/17/2019,24,4.86,4.215,,,,,10/4/2019 - 10/10/2019,16.14285714,16.14
43,10/18/2019 - 10/24/2019,31.86,6.86,7.075,,,,,10/11/2019 - 10/17/2019,24,24
44,10/25/2019 - 10/31/2019,26.29,3.57,4.715,,,,,10/18/2019 - 10/24/2019,31.85714286,31.86
45,11/1/2019 - 11/7/2019,33,4.57,4.715,,,,,10/25/2019 - 10/31/2019,26.28571429,26.29
46,11/8/2019 - 11/14/2019,33,5,4.93,,,,,11/1/2019 - 11/7/2019,33,33
47,11/15/2019 - 11/21/2019,32.71,4.14,4.715,,,,,11/8/2019 - 11/14/2019,33,33
48,11/22/2019 - 11/28/2019,30.43,6.57,6.215,,,,,11/15/2019 - 11/21/2019,32.71428571,32.71
49,11/29/2019 - 12/5/2019,27.57,3.43,3.93,,,,,11/22/2019 - 11/28/2019,30.42857143,30.43
50,12/6/2019 - 12/12/2019,33,3.86,4.43,,,,,11/29/2019 - 12/5/2019,27.57142857,27.57
51,12/13/2019 - 12/19/2019,29.43,3.43,4.57,,,,,12/6/2019 - 12/12/2019,33,33
52,12/20/2019 - 12/26/2019,40.14,7.86,8.075,,,,,12/13/2019 - 12/19/2019,29.42857143,29.43
1,12/27/2019 - 1/2/2020,27.57,4.29,4.715,,,,,12/20/2019 - 12/26/2019,40.14285714,40.14
2,1/3/2020 - 1/9/2020,30.43,4.57,5.07,,,,,12/27/2019 - 1/2/2020,27.57142857,27.57
3,1/10/2020 - 1/16/2020,30,5,5.285,,,,,1/3/2020 - 1/9/2020,30.42857143,30.43
4,1/17/2020 - 1/23/2020,34.43,5.29,5.29,,,,,1/10/2020 - 1/16/2020,30,30
5,1/24/2020 - 1/30/2020,29.71,5,5.43,,,,,1/17/2020 - 1/23/2020,34.42857143,34.43
6,1/31/2020 - 2/6/2020,43,6.14,7.215,,,,,1/24/2020 - 1/30/2020,29.71428571,29.71
