Date,PM2.5 AQI Value,Main Pollutant,Site Name,Site ID,Source
1/1/2016,31,,MASPETH LIBRARY,36-081-0120,AQS
1/2/2016,45,,MASPETH LIBRARY,36-081-0120,AQS
1/3/2016,46,,MASPETH LIBRARY,36-081-0120,AQS
1/4/2016,37,,MASPETH LIBRARY,36-081-0120,AQS
1/5/2016,52,,MASPETH LIBRARY,36-081-0120,AQS
1/6/2016,57,,MASPETH LIBRARY,36-081-0120,AQS
1/7/2016,85,,QUEENS COLLEGE 2,36-081-0124,AQS
1/8/2016,53,,MASPETH LIBRARY,36-081-0120,AQS
1/9/2016,52,,MASPETH LIBRARY,36-081-0120,AQS
1/10/2016,23,,MASPETH LIBRARY,36-081-0120,AQS
1/11/2016,33,,MASPETH LIBRARY,36-081-0120,AQS
1/12/2016,36,,MASPETH LIBRARY,36-081-0120,AQS
1/13/2016,42,,MASPETH LIBRARY,36-081-0120,AQS
1/14/2016,53,,MASPETH LIBRARY,36-081-0120,AQS
1/15/2016,60,,QUEENS COLLEGE 2,36-081-0124,AQS
1/16/2016,44,,MASPETH LIBRARY,36-081-0120,AQS
1/17/2016,35,,MASPETH LIBRARY,36-081-0120,AQS
1/18/2016,35,,MASPETH LIBRARY,36-081-0120,AQS
1/19/2016,33,,MASPETH LIBRARY,36-081-0120,AQS
1/20/2016,36,,MASPETH LIBRARY,36-081-0120,AQS
1/21/2016,37,,MASPETH LIBRARY,36-081-0120,AQS
1/22/2016,25,,MASPETH LIBRARY,36-081-0120,AQS
1/23/2016,20,,MASPETH LIBRARY,36-081-0120,AQS
1/24/2016,44,,MASPETH LIBRARY,36-081-0120,AQS
1/25/2016,53,,MASPETH LIBRARY,36-081-0120,AQS
1/26/2016,49,,MASPETH LIBRARY,36-081-0120,AQS
1/27/2016,46,,MASPETH LIBRARY,36-081-0120,AQS
1/28/2016,52,,QUEENS COLLEGE 2,36-081-0124,AQS
1/29/2016,54,,MASPETH LIBRARY,36-081-0120,AQS
1/30/2016,36,,MASPETH LIBRARY,36-081-0120,AQS
1/31/2016,44,,MASPETH LIBRARY,36-081-0120,AQS
2/1/2016,54,,MASPETH LIBRARY,36-081-0120,AQS
2/2/2016,33,,MASPETH LIBRARY,36-081-0120,AQS
2/3/2016,25,,MASPETH LIBRARY,36-081-0120,AQS
2/4/2016,24,,MASPETH LIBRARY,36-081-0120,AQS
2/5/2016,29,,MASPETH LIBRARY,36-081-0120,AQS
2/6/2016,31,,MASPETH LIBRARY,36-081-0120,AQS
2/7/2016,60,,QUEENS COLLEGE 2,36-081-0124,AQS
2/8/2016,24,,MASPETH LIBRARY,36-081-0120,AQS
2/9/2016,34,,QUEENS COLLEGE 2,36-081-0124,AQS
2/10/2016,53,,QUEENS COLLEGE 2,36-081-0124,AQS
2/11/2016,28,,MASPETH LIBRARY,36-081-0120,AQS
2/12/2016,26,,QUEENS COLLEGE 2,36-081-0124,AQS
2/13/2016,37,,MASPETH LIBRARY,36-081-0120,AQS
2/14/2016,36,,MASPETH LIBRARY,36-081-0120,AQS
2/15/2016,46,,QUEENS COLLEGE 2,36-081-0124,AQS
2/16/2016,27,,MASPETH LIBRARY,36-081-0120,AQS
2/17/2016,38,,MASPETH LIBRARY,36-081-0120,AQS
2/18/2016,24,,MASPETH LIBRARY,36-081-0120,AQS
2/19/2016,26,,MASPETH LIBRARY,36-081-0120,AQS
2/20/2016,36,,MASPETH LIBRARY,36-081-0120,AQS
2/21/2016,39,,MASPETH LIBRARY,36-081-0120,AQS
2/22/2016,25,,MASPETH LIBRARY,36-081-0120,AQS
2/23/2016,23,,MASPETH LIBRARY,36-081-0120,AQS
2/24/2016,13,,QUEENS COLLEGE 2,36-081-0124,AQS
2/25/2016,20,,MASPETH LIBRARY,36-081-0120,AQS
2/26/2016,28,,MASPETH LIBRARY,36-081-0120,AQS
2/27/2016,27,,MASPETH LIBRARY,36-081-0120,AQS
2/28/2016,60,,QUEENS COLLEGE 2,36-081-0124,AQS
2/29/2016,40,,MASPETH LIBRARY,36-081-0120,AQS
3/1/2016,25,,MASPETH LIBRARY,36-081-0120,AQS
3/2/2016,33,,MASPETH LIBRARY,36-081-0120,AQS
3/3/2016,22,,MASPETH LIBRARY,36-081-0120,AQS
3/4/2016,34,,QUEENS COLLEGE 2,36-081-0124,AQS
3/5/2016,27,,MASPETH LIBRARY,36-081-0120,AQS
3/6/2016,33,,MASPETH LIBRARY,36-081-0120,AQS
3/7/2016,64,,QUEENS COLLEGE 2,36-081-0124,AQS
3/8/2016,70,,QUEENS COLLEGE 2,36-081-0124,AQS
3/9/2016,74,,QUEENS COLLEGE 2,36-081-0124,AQS
3/10/2016,64,,MASPETH LIBRARY,36-081-0120,AQS
3/11/2016,20,,MASPETH LIBRARY,36-081-0120,AQS
3/12/2016,17,,QUEENS COLLEGE 2,36-081-0124,AQS
3/13/2016,32,,QUEENS COLLEGE 2,36-081-0124,AQS
3/14/2016,13,,MASPETH LIBRARY,36-081-0120,AQS
3/15/2016,19,,MASPETH LIBRARY,36-081-0120,AQS
3/16/2016,37,,QUEENS COLLEGE 2,36-081-0124,AQS
3/17/2016,27,,QUEENS COLLEGE 2,36-081-0124,AQS
3/18/2016,21,,MASPETH LIBRARY,36-081-0120,AQS
3/19/2016,13,,MASPETH LIBRARY,36-081-0120,AQS
3/20/2016,13,,MASPETH LIBRARY,36-081-0120,AQS
3/21/2016,24,,QUEENS COLLEGE 2,36-081-0124,AQS
3/22/2016,25,,MASPETH LIBRARY,36-081-0120,AQS
3/23/2016,49,,MASPETH LIBRARY,36-081-0120,AQS
3/24/2016,42,,QUEENS COLLEGE 2,36-081-0124,AQS
3/25/2016,40,,MASPETH LIBRARY,36-081-0120,AQS
3/26/2016,15,,MASPETH LIBRARY,36-081-0120,AQS
3/27/2016,19,,QUEENS COLLEGE 2,36-081-0124,AQS
3/28/2016,13,,QUEENS COLLEGE 2,36-081-0124,AQS
3/29/2016,17,,MASPETH LIBRARY,36-081-0120,AQS
3/30/2016,24,,MASPETH LIBRARY,36-081-0120,AQS
3/31/2016,37,,MASPETH LIBRARY,36-081-0120,AQS
4/1/2016,28,,MASPETH LIBRARY,36-081-0120,AQS
4/2/2016,22,,QUEENS COLLEGE 2,36-081-0124,AQS
4/3/2016,20,,MASPETH LIBRARY,36-081-0120,AQS
4/4/2016,25,,MASPETH LIBRARY,36-081-0120,AQS
4/5/2016,19,,MASPETH LIBRARY,36-081-0120,AQS
4/6/2016,18,,MASPETH LIBRARY,36-081-0120,AQS
4/7/2016,19,,QUEENS COLLEGE 2,36-081-0124,AQS
4/8/2016,35,,MASPETH LIBRARY,36-081-0120,AQS
4/9/2016,41,,MASPETH LIBRARY,36-081-0120,AQS
4/10/2016,19,,MASPETH LIBRARY,36-081-0120,AQS
4/11/2016,28,,QUEENS COLLEGE 2,36-081-0124,AQS
4/12/2016,29,,MASPETH LIBRARY,36-081-0120,AQS
4/13/2016,19,,QUEENS COLLEGE 2,36-081-0124,AQS
4/14/2016,25,,QUEENS COLLEGE 2,36-081-0124,AQS
4/15/2016,23,,QUEENS COLLEGE 2,36-081-0124,AQS
4/16/2016,20,,MASPETH LIBRARY,36-081-0120,AQS
4/17/2016,25,,QUEENS COLLEGE 2,36-081-0124,AQS
4/18/2016,34,,MASPETH LIBRARY,36-081-0120,AQS
4/19/2016,28,,QUEENS COLLEGE 2,36-081-0124,AQS
4/20/2016,15,,QUEENS COLLEGE 2,36-081-0124,AQS
4/21/2016,30,,MASPETH LIBRARY,36-081-0120,AQS
4/22/2016,58,,MASPETH LIBRARY,36-081-0120,AQS
4/23/2016,29,,QUEENS COLLEGE 2,36-081-0124,AQS
4/24/2016,19,,QUEENS COLLEGE 2,36-081-0124,AQS
4/25/2016,28,,MASPETH LIBRARY,36-081-0120,AQS
4/26/2016,39,,QUEENS COLLEGE 2,36-081-0124,AQS
4/27/2016,20,,QUEENS COLLEGE 2,36-081-0124,AQS
4/28/2016,18,,QUEENS COLLEGE 2,36-081-0124,AQS
4/29/2016,16,,QUEENS COLLEGE 2,36-081-0124,AQS
4/30/2016,17,,QUEENS COLLEGE 2,36-081-0124,AQS
5/1/2016,12,,QUEENS COLLEGE 2,36-081-0124,AQS
5/2/2016,33,,QUEENS COLLEGE 2,36-081-0124,AQS
5/3/2016,16,,QUEENS COLLEGE 2,36-081-0124,AQS
5/4/2016,12,,QUEENS COLLEGE 2,36-081-0124,AQS
5/5/2016,8,,QUEENS COLLEGE 2,36-081-0124,AQS
5/6/2016,13,,QUEENS COLLEGE 2,36-081-0124,AQS
5/7/2016,15,,QUEENS COLLEGE 2,36-081-0124,AQS
5/8/2016,18,,QUEENS COLLEGE 2,36-081-0124,AQS
5/9/2016,36,,MASPETH LIBRARY,36-081-0120,AQS
5/10/2016,18,,QUEENS COLLEGE 2,36-081-0124,AQS
5/11/2016,31,,MASPETH LIBRARY,36-081-0120,AQS
5/12/2016,54,,QUEENS COLLEGE 2,36-081-0124,AQS
5/13/2016,54,,QUEENS COLLEGE 2,36-081-0124,AQS
5/14/2016,32,,QUEENS COLLEGE 2,36-081-0124,AQS
5/15/2016,11,,QUEENS COLLEGE 2,36-081-0124,AQS
5/16/2016,13,,QUEENS COLLEGE 2,36-081-0124,AQS
5/17/2016,25,,MASPETH LIBRARY,36-081-0120,AQS
5/18/2016,21,,QUEENS COLLEGE 2,36-081-0124,AQS
5/19/2016,28,,QUEENS COLLEGE 2,36-081-0124,AQS
5/20/2016,29,,QUEENS COLLEGE 2,36-081-0124,AQS
5/21/2016,34,,QUEENS COLLEGE 2,36-081-0124,AQS
5/22/2016,24,,QUEENS COLLEGE 2,36-081-0124,AQS
5/23/2016,29,,QUEENS COLLEGE 2,36-081-0124,AQS
5/24/2016,38,,MASPETH LIBRARY,36-081-0120,AQS
5/25/2016,61,,MASPETH LIBRARY,36-081-0120,AQS
5/26/2016,67,,MASPETH LIBRARY,36-081-0120,AQS
5/27/2016,65,,QUEENS COLLEGE 2,36-081-0124,AQS
5/28/2016,53,,QUEENS COLLEGE 2,36-081-0124,AQS
5/29/2016,26,,QUEENS COLLEGE 2,36-081-0124,AQS
5/30/2016,18,,QUEENS COLLEGE 2,36-081-0124,AQS
5/31/2016,28,,QUEENS COLLEGE 2,36-081-0124,AQS
6/1/2016,33,,QUEENS COLLEGE 2,36-081-0124,AQS
6/2/2016,28,,QUEENS COLLEGE 2,36-081-0124,AQS
6/3/2016,30,,QUEENS COLLEGE 2,36-081-0124,AQS
6/4/2016,49,,QUEENS COLLEGE 2,36-081-0124,AQS
6/5/2016,19,,QUEENS COLLEGE 2,36-081-0124,AQS
6/6/2016,27,,QUEENS COLLEGE 2,36-081-0124,AQS
6/7/2016,27,,QUEENS COLLEGE 2,36-081-0124,AQS
6/8/2016,15,,QUEENS COLLEGE 2,36-081-0124,AQS
6/9/2016,13,,QUEENS COLLEGE 2,36-081-0124,AQS
6/10/2016,16,,QUEENS COLLEGE 2,36-081-0124,AQS
6/11/2016,48,,QUEENS COLLEGE 2,36-081-0124,AQS
6/12/2016,38,,MASPETH LIBRARY,36-081-0120,AQS
6/13/2016,12,,QUEENS COLLEGE 2,36-081-0124,AQS
6/14/2016,15,,QUEENS COLLEGE 2,36-081-0124,AQS
6/15/2016,29,,QUEENS COLLEGE 2,36-081-0124,AQS
6/16/2016,52,,QUEENS COLLEGE 2,36-081-0124,AQS
6/17/2016,36,,QUEENS COLLEGE 2,36-081-0124,AQS
6/18/2016,28,,QUEENS COLLEGE 2,36-081-0124,AQS
6/19/2016,30,,QUEENS COLLEGE 2,36-081-0124,AQS
6/20/2016,34,,QUEENS COLLEGE 2,36-081-0124,AQS
6/21/2016,35,,QUEENS COLLEGE 2,36-081-0124,AQS
6/22/2016,25,,QUEENS COLLEGE 2,36-081-0124,AQS
6/23/2016,48,,MASPETH LIBRARY,36-081-0120,AQS
6/24/2016,51,,QUEENS COLLEGE 2,36-081-0124,AQS
6/25/2016,32,,QUEENS COLLEGE 2,36-081-0124,AQS
6/26/2016,33,,QUEENS COLLEGE 2,36-081-0124,AQS
6/27/2016,30,,QUEENS COLLEGE 2,36-081-0124,AQS
6/28/2016,25,,QUEENS COLLEGE 2,36-081-0124,AQS
6/29/2016,30,,QUEENS COLLEGE 2,36-081-0124,AQS
6/30/2016,29,,QUEENS COLLEGE 2,36-081-0124,AQS
7/1/2016,32,,QUEENS COLLEGE 2,36-081-0124,AQS
7/2/2016,21,,QUEENS COLLEGE 2,36-081-0124,AQS
7/3/2016,28,,QUEENS COLLEGE 2,36-081-0124,AQS
7/4/2016,45,,QUEENS COLLEGE 2,36-081-0124,AQS
7/5/2016,23,,QUEENS COLLEGE 2,36-081-0124,AQS
7/6/2016,48,,QUEENS COLLEGE 2,36-081-0124,AQS
7/7/2016,59,,QUEENS COLLEGE 2,36-081-0124,AQS
7/8/2016,46,,QUEENS COLLEGE 2,36-081-0124,AQS
7/9/2016,21,,QUEENS COLLEGE 2,36-081-0124,AQS
7/10/2016,12,,QUEENS COLLEGE 2,36-081-0124,AQS
7/11/2016,11,,QUEENS COLLEGE 2,36-081-0124,AQS
7/12/2016,15,,QUEENS COLLEGE 2,36-081-0124,AQS
7/13/2016,20,,QUEENS COLLEGE 2,36-081-0124,AQS
7/14/2016,42,,QUEENS COLLEGE 2,36-081-0124,AQS
7/15/2016,52,,QUEENS COLLEGE 2,36-081-0124,AQS
7/16/2016,39,,QUEENS COLLEGE 2,36-081-0124,AQS
7/17/2016,44,,QUEENS COLLEGE 2,36-081-0124,AQS
7/18/2016,49,,QUEENS COLLEGE 2,36-081-0124,AQS
7/19/2016,25,,QUEENS COLLEGE 2,36-081-0124,AQS
7/20/2016,21,,QUEENS COLLEGE 2,36-081-0124,AQS
7/21/2016,38,,QUEENS COLLEGE 2,36-081-0124,AQS
7/22/2016,58,,QUEENS COLLEGE 2,36-081-0124,AQS
7/23/2016,35,,QUEENS COLLEGE 2,36-081-0124,AQS
7/24/2016,31,,QUEENS COLLEGE 2,36-081-0124,AQS
7/25/2016,41,,QUEENS COLLEGE 2,36-081-0124,AQS
7/26/2016,27,,QUEENS COLLEGE 2,36-081-0124,AQS
7/27/2016,31,,QUEENS COLLEGE 2,36-081-0124,AQS
7/28/2016,60,,QUEENS COLLEGE 2,36-081-0124,AQS
7/29/2016,52,,QUEENS COLLEGE 2,36-081-0124,AQS
7/30/2016,53,,QUEENS COLLEGE 2,36-081-0124,AQS
7/31/2016,29,,QUEENS COLLEGE 2,36-081-0124,AQS
8/1/2016,30,,QUEENS COLLEGE 2,36-081-0124,AQS
