Week,Year,Date,Average of Manhattan Ozone AQI Value,Average of cluster 2 Ozone AQI Value
1,2016,1/1/2016 - 1/7/2016,16.86,16.86
2,2016,1/8/2016 - 1/14/2016,22.14,22.14
3,2016,1/15/2016 - 1/21/2016,22.71,22.71
4,2016,1/22/2016 - 1/28/2016,18.86,18.86
5,2016,1/29/2016 - 2/4/2016,19,19
6,2016,2/5/2016 - 2/11/2016,23.57,23.57
7,2016,2/12/2016 - 2/18/2016,22.71,22.71
8,2016,2/19/2016 - 2/25/2016,24.33,24.33
9,2016,2/26/2016 - 3/3/2016,30.29,30.29
10,2016,3/4/2016 - 3/10/2016,28.71,28.71
11,2016,3/11/2016 - 3/17/2016,27.57,27.57
12,2016,3/18/2016 - 3/24/2016,34.43,34.43
13,2016,3/25/2016 - 3/31/2016,34.14,34.14
14,2016,4/1/2016 - 4/7/2016,33.14,33.14
15,2016,4/8/2016 - 4/14/2016,31.86,31.86
16,2016,4/15/2016 - 4/21/2016,45.14,45.14
17,2016,4/22/2016 - 4/28/2016,36,36
18,2016,4/29/2016 - 5/5/2016,27.43,27.43
19,2016,5/6/2016 - 5/12/2016,34.57,34.57
20,2016,5/13/2016 - 5/19/2016,32.14,32.14
21,2016,5/20/2016 - 5/26/2016,61.86,61.86
22,2016,5/27/2016 - 6/2/2016,51.86,51.86
23,2016,6/3/2016 - 6/9/2016,41.29,41.29
24,2016,6/10/2016 - 6/16/2016,41.43,41.43
25,2016,6/17/2016 - 6/23/2016,55.71,55.71
26,2016,6/24/2016 - 6/30/2016,55.14,55.14
27,2016,7/1/2016 - 7/7/2016,51.71,51.71
28,2016,7/8/2016 - 7/14/2016,37.14,37.14
29,2016,7/15/2016 - 7/21/2016,70.71,70.71
30,2016,7/22/2016 - 7/28/2016,69.29,69.29
31,2016,7/29/2016 - 8/4/2016,40.86,40.86
32,2016,8/5/2016 - 8/11/2016,44.29,44.29
33,2016,8/12/2016 - 8/18/2016,45.29,45.29
34,2016,8/19/2016 - 8/25/2016,50,50
35,2016,8/26/2016 - 9/1/2016,41.43,41.43
36,2016,9/2/2016 - 9/8/2016,34.14,34.14
37,2016,9/9/2016 - 9/15/2016,40.86,40.86
38,2016,9/16/2016 - 9/22/2016,30.71,30.71
39,2016,9/23/2016 - 9/29/2016,37.29,37.29
40,2016,9/30/2016 - 10/6/2016,24.14,24.14
41,2016,10/7/2016 - 10/13/2016,24.86,24.86
42,2016,10/14/2016 - 10/20/2016,28.57,28.57
43,2016,10/21/2016 - 10/27/2016,21.29,21.29
44,2016,10/28/2016 - 11/3/2016,21,21
45,2016,11/4/2016 - 11/10/2016,16.5,16.5
46,2016,11/11/2016 - 11/17/2016,22.86,22.86
47,2016,11/18/2016 - 11/24/2016,23,23
48,2016,11/25/2016 - 12/1/2016,16.43,16.43
49,2016,12/2/2016 - 12/8/2016,17.43,17.43
50,2016,12/9/2016 - 12/15/2016,18.43,18.43
51,2016,12/16/2016 - 12/22/2016,16.14,16.14
52,2016,12/23/2016 - 12/29/2016,20.71,20.71
1,2017,12/30/2016 - 1/5/2017,22.57,22.57
2,2017,1/6/2017 - 1/12/2017,20.57,20.57
3,2017,1/13/2017 - 1/19/2017,19,19
4,2017,1/20/2017 - 1/26/2017,18.17,18.17
5,2017,1/27/2017 - 2/2/2017,21.5,21.5
6,2017,2/3/2017 - 2/9/2017,26.6,26.6
7,2017,2/10/2017 - 2/16/2017,23.29,23.29
8,2017,2/17/2017 - 2/23/2017,26.43,26.43
9,2017,2/24/2017 - 3/2/2017,27.71,27.71
10,2017,3/3/2017 - 3/9/2017,30.29,30.29
11,2017,3/10/2017 - 3/16/2017,32,32
12,2017,3/17/2017 - 3/23/2017,37.14,37.14
13,2017,3/24/2017 - 3/30/2017,27.14,27.14
14,2017,3/31/2017 - 4/6/2017,32.29,32.29
15,2017,4/7/2017 - 4/13/2017,37,37
16,2017,4/14/2017 - 4/20/2017,38,38
17,2017,4/21/2017 - 4/27/2017,27.71,27.71
18,2017,4/28/2017 - 5/4/2017,37.86,37.86
19,2017,5/5/2017 - 5/11/2017,32.43,32.43
20,2017,5/12/2017 - 5/18/2017,50,50
21,2017,5/19/2017 - 5/25/2017,36.71,36.71
22,2017,5/26/2017 - 6/1/2017,32.14,32.14
23,2017,6/2/2017 - 6/8/2017,30.14,30.14
24,2017,6/9/2017 - 6/15/2017,72.43,72.43
25,2017,6/16/2017 - 6/22/2017,38.57,38.57
26,2017,6/23/2017 - 6/29/2017,40.43,40.43
27,2017,6/30/2017 - 7/6/2017,46.57,46.57
28,2017,7/7/2017 - 7/13/2017,44.29,44.29
29,2017,7/14/2017 - 7/20/2017,48.43,48.43
30,2017,7/21/2017 - 7/27/2017,45,45
31,2017,7/28/2017 - 8/3/2017,48,48
32,2017,8/4/2017 - 8/10/2017,40.29,40.29
33,2017,8/11/2017 - 8/17/2017,40.33,40.33
34,2017,8/18/2017 - 8/24/2017,37.43,37.43
35,2017,8/25/2017 - 8/31/2017,33.57,33.57
36,2017,9/1/2017 - 9/7/2017,33.57,33.57
37,2017,9/8/2017 - 9/14/2017,28.14,28.14
38,2017,9/15/2017 - 9/21/2017,32,32
39,2017,9/22/2017 - 9/28/2017,35.71,35.71
40,2017,9/29/2017 - 10/5/2017,30.86,30.86
41,2017,10/6/2017 - 10/12/2017,26.71,26.71
42,2017,10/13/2017 - 10/19/2017,22.86,22.86
43,2017,10/20/2017 - 10/26/2017,28.86,28.86
44,2017,10/27/2017 - 11/2/2017,24.43,24.43
45,2017,11/3/2017 - 11/9/2017,17.43,17.43
46,2017,11/10/2017 - 11/16/2017,21.14,21.14
47,2017,11/17/2017 - 11/23/2017,24.71,24.71
48,2017,11/24/2017 - 11/30/2017,18.57,18.57
49,2017,12/1/2017 - 12/7/2017,16.86,16.86
50,2017,12/8/2017 - 12/14/2017,19.43,19.43
51,2017,12/15/2017 - 12/21/2017,18.14,18.14
52,2017,12/22/2017 - 12/28/2017,21.29,21.29
1,2018,12/29/2017 - 1/4/2018,20.67,20.67
2,2018,1/5/2018 - 1/11/2018,17.43,17.43
3,2018,1/12/2018 - 1/18/2018,18.57,18.57
4,2018,1/19/2018 - 1/25/2018,22.71,22.71
5,2018,1/26/2018 - 2/1/2018,19.43,19.43
6,2018,2/2/2018 - 2/8/2018,23,23
7,2018,2/9/2018 - 2/15/2018,14.71,14.71
8,2018,2/16/2018 - 2/22/2018,23.83,23.83
9,2018,2/23/2018 - 3/1/2018,22.14,22.14
10,2018,3/2/2018 - 3/8/2018,27.86,27.86
11,2018,3/9/2018 - 3/15/2018,32,32
12,2018,3/16/2018 - 3/22/2018,33.43,33.43
13,2018,3/23/2018 - 3/29/2018,26.86,26.86
14,2018,3/30/2018 - 4/5/2018,34.43,34.43
15,2018,4/6/2018 - 4/12/2018,36.57,36.57
16,2018,4/13/2018 - 4/19/2018,37.71,37.71
17,2018,4/20/2018 - 4/26/2018,41.57,41.57
18,2018,4/27/2018 - 5/3/2018,49.29,49.29
19,2018,5/4/2018 - 5/10/2018,44,44
20,2018,5/11/2018 - 5/17/2018,29.5,29.5
21,2018,5/18/2018 - 5/24/2018,39,39
22,2018,5/25/2018 - 5/31/2018,50.29,50.29
23,2018,6/1/2018 - 6/7/2018,31.57,31.57
24,2018,6/8/2018 - 6/14/2018,38.71,38.71
25,2018,6/15/2018 - 6/21/2018,61.57,61.57
26,2018,6/22/2018 - 6/28/2018,35.29,35.29
27,2018,6/29/2018 - 7/5/2018,81,81
28,2018,7/6/2018 - 7/12/2018,62.29,62.29
29,2018,7/13/2018 - 7/19/2018,55.14,55.14
30,2018,7/20/2018 - 7/26/2018,30.86,30.86
31,2018,7/27/2018 - 8/2/2018,46.43,46.43
32,2018,8/3/2018 - 8/9/2018,60.43,60.43
33,2018,8/10/2018 - 8/16/2018,47.86,47.86
34,2018,8/17/2018 - 8/23/2018,61,61
35,2018,8/24/2018 - 8/30/2018,51.86,51.86
36,2018,8/31/2018 - 9/6/2018,44,44
37,2018,9/7/2018 - 9/13/2018,16.86,16.86
38,2018,9/14/2018 - 9/20/2018,29.29,29.29
39,2018,9/21/2018 - 9/27/2018,23.86,23.86
40,2018,9/28/2018 - 10/4/2018,28.25,28.25
41,2018,10/5/2018 - 10/11/2018,17.17,17.17
42,2018,10/12/2018 - 10/18/2018,23.8,23.8
43,2018,10/19/2018 - 10/25/2018,24.5,24.5
44,2018,10/26/2018 - 11/1/2018,28.71,28.71
45,2018,11/2/2018 - 11/8/2018,20,20
46,2018,11/9/2018 - 11/15/2018,23.57,23.57
47,2018,11/16/2018 - 11/22/2018,22.14,22.14
48,2018,11/23/2018 - 11/29/2018,24,24
49,2018,11/30/2018 - 12/6/2018,18.71,18.71
50,2018,12/7/2018 - 12/13/2018,17.71,17.71
51,2018,12/14/2018 - 12/20/2018,27.71,27.71
52,2018,12/21/2018 - 12/27/2018,22.57,22.57
1,2019,12/28/2018 - 1/3/2019,23.43,23.43
2,2019,1/4/2019 - 1/10/2019,23.86,23.86
3,2019,1/11/2019 - 1/17/2019,22.67,22.67
4,2019,1/18/2019 - 1/24/2019,21.71,21.71
5,2019,1/25/2019 - 1/31/2019,24.57,24.57
6,2019,2/1/2019 - 2/7/2019,14.71,14.71
7,2019,2/8/2019 - 2/14/2019,27.29,27.29
8,2019,2/15/2019 - 2/21/2019,29.43,29.43
9,2019,2/22/2019 - 2/28/2019,31.14,31.14
10,2019,3/1/2019 - 3/7/2019,32.14,32.14
11,2019,3/8/2019 - 3/14/2019,33.43,33.43
12,2019,3/15/2019 - 3/21/2019,36.43,36.43
13,2019,3/22/2019 - 3/28/2019,37.14,37.14
14,2019,3/29/2019 - 4/4/2019,37.29,37.29
15,2019,4/5/2019 - 4/11/2019,34,34
16,2019,4/12/2019 - 4/18/2019,35.14,35.14
17,2019,4/19/2019 - 4/25/2019,32.71,32.71
18,2019,4/26/2019 - 5/2/2019,31.71,31.71
19,2019,5/3/2019 - 5/9/2019,31.29,31.29
20,2019,5/10/2019 - 5/16/2019,30.14,30.14
21,2019,5/17/2019 - 5/23/2019,39.57,39.57
22,2019,5/24/2019 - 5/30/2019,32.86,32.86
23,2019,5/31/2019 - 6/6/2019,45.57,45.57
24,2019,6/7/2019 - 6/13/2019,37.17,37.17
25,2019,6/14/2019 - 6/20/2019,33.29,33.29
26,2019,6/21/2019 - 6/27/2019,39,39
27,2019,6/28/2019 - 7/4/2019,68.43,68.43
28,2019,7/5/2019 - 7/11/2019,45.57,45.57
29,2019,7/12/2019 - 7/18/2019,54.43,54.43
30,2019,7/19/2019 - 7/25/2019,44.29,44.29
31,2019,7/26/2019 - 8/1/2019,69.14,69.14
32,2019,8/2/2019 - 8/8/2019,45.14,45.14
33,2019,8/9/2019 - 8/15/2019,38.43,38.43
34,2019,8/16/2019 - 8/22/2019,45.14,45.14
35,2019,8/23/2019 - 8/29/2019,29.57,29.57
36,2019,8/30/2019 - 9/5/2019,39.43,39.43
37,2019,9/6/2019 - 9/12/2019,31.43,31.43
38,2019,9/13/2019 - 9/19/2019,30.57,30.57
39,2019,9/20/2019 - 9/26/2019,51.43,51.43
40,2019,9/27/2019 - 10/3/2019,32.14,32.14
41,2019,10/4/2019 - 10/10/2019,25.71,25.71
42,2019,10/11/2019 - 10/17/2019,29.14,29.14
43,2019,10/18/2019 - 10/24/2019,25.57,25.57
44,2019,10/25/2019 - 10/31/2019,24,24
45,2019,11/1/2019 - 11/7/2019,23.14,23.14
46,2019,11/8/2019 - 11/14/2019,21,21
47,2019,11/15/2019 - 11/21/2019,21.43,21.43
48,2019,11/22/2019 - 11/28/2019,16.57,16.57
49,2019,11/29/2019 - 12/5/2019,22.57,22.57
50,2019,12/6/2019 - 12/12/2019,20.71,20.71
51,2019,12/13/2019 - 12/19/2019,22,22
52,2019,12/20/2019 - 12/26/2019,13.57,13.57
1,2020,12/27/2019 - 1/2/2020,18.43,18.43
2,2020,1/3/2020 - 1/9/2020,18.43,18.43
3,2020,1/10/2020 - 1/16/2020,18.57,18.57
4,2020,1/17/2020 - 1/23/2020,22.29,22.29
5,2020,1/24/2020 - 1/30/2020,23,23
6,2020,1/31/2020 - 2/6/2020,15.86,15.86
7,2020,2/7/2020 - 2/13/2020,25.86,25.86
8,2020,2/14/2020 - 2/20/2020,25.71,25.71
9,2020,2/21/2020 - 2/27/2020,28.29,28.29
10,2020,2/28/2020 - 3/5/2020,31.71,31.71
11,2020,3/6/2020 - 3/12/2020,28.71,28.71
12,2020,3/13/2020 - 3/19/2020,31,31
13,2020,3/20/2020 - 3/26/2020,33,33
14,2020,3/27/2020 - 4/2/2020,35,35
15,2020,4/3/2020 - 4/9/2020,34.14,34.14
16,2020,4/10/2020 - 4/16/2020,38.86,38.86
17,2020,4/17/2020 - 4/23/2020,36.43,36.43
18,2020,4/24/2020 - 4/30/2020,35.43,35.43
19,2020,5/1/2020 - 5/7/2020,39.43,39.43
20,2020,5/8/2020 - 5/14/2020,36.17,36.17
21,2020,5/15/2020 - 5/19/2020,46.25,46.25
